expression	gene	type
6.71438153678632	CAV1	T
5.97500737837893	CAV1	T
2.96115266254725	CAV1	T
8.62817611469409	CAV1	T
6.07557413158438	CAV1	T
2.78435279564378	CAV1	T
6.39402651890579	CAV1	T
4.64011765525589	CAV1	T
7.4503180133226	CAV1	T
3.13587219244251	CAV1	T
4.48485027802537	CAV1	T
4.83079177227996	CAV1	T
5.68597265635959	CAV1	T
6.6937420201611	CAV1	T
3.91359985316951	CAV1	T
6.82779997482112	CAV1	T
5.46005676032217	CAV1	T
8.13133276333915	CAV1	T
6.42174708592344	CAV1	T
5.45096410129662	CAV1	T
5.25310281020125	CAV1	T
5.28278561003248	CAV1	T
2.93575655413415	CAV1	T
6.91981915309516	CAV1	T
6.23872706444599	CAV1	T
8.26652983055754	CAV1	T
4.49648408060387	CAV1	T
4.9620348728853	CAV1	T
4.25070998922766	CAV1	T
7.46975657713249	CAV1	T
7.97491471387478	CAV1	T
6.79563059793201	CAV1	T
5.60643067941819	CAV1	T
8.83857459807761	CAV1	T
7.31835209473044	CAV1	T
6.04486903759383	CAV1	T
7.30660037732521	CAV1	T
7.1341952651472	CAV1	T
5.03768136130559	CAV1	T
4.42757868622978	CAV1	T
6.82980897713492	CAV1	T
3.69746470103609	CAV1	T
6.79141948959213	CAV1	T
6.42113845212102	CAV1	T
7.53054367434949	CAV1	T
7.68951862361148	CAV1	T
7.36532072379646	CAV1	T
6.05423441969774	CAV1	T
4.83878087156892	CAV1	T
6.42301604235216	CAV1	T
7.64705326367852	CAV1	T
7.8118396207954	CAV1	T
5.83780653249225	CAV1	T
3.13481465583198	CAV1	T
5.35231326290311	CAV1	T
6.394294105952	CAV1	T
8.40559122448493	CAV1	T
4.86875540231572	CAV1	T
6.71092074295436	CAV1	T
6.28562988776851	CAV1	T
2.71398938221074	CAV1	T
7.91931207214576	CAV1	T
7.32416524181638	CAV1	T
5.22991779769644	CAV1	T
6.79351617599559	CAV1	T
6.10435364493253	CAV1	T
5.71026340990764	CAV1	T
7.15574417384726	CAV1	T
7.60186733619653	CAV1	T
6.33098748779612	CAV1	T
5.45995220645618	CAV1	T
8.0220986698115	CAV1	T
3.90993051537199	CAV1	T
5.46694224695438	CAV1	T
6.52986247806086	CAV1	T
8.22870663682956	CAV1	T
4.76316455288379	CAV1	T
8.10757593895059	CAV1	T
7.25223776371819	CAV1	T
6.3636256156798	CAV1	T
9.08922455817354	CAV1	T
3.03637725725594	CAV1	T
7.3851488557243	CAV1	T
5.62880100264823	CAV1	T
7.99435230533289	CAV1	T
6.10674235998525	CAV1	T
6.30064541714508	CAV1	T
5.45416898244939	CAV1	T
7.11557847996027	CAV1	T
7.92464982017811	CAV1	T
6.96714208715944	CAV1	T
6.81099570547188	CAV1	T
6.07438512113007	CAV1	T
5.36168871427954	CAV1	T
8.83144596390056	CAV1	T
5.89703368902387	CAV1	T
6.2970180405822	CAV1	T
6.63272625662877	CAV1	T
3.44978650991043	CAV1	T
5.09444975533452	CAV1	T
7.67547229063789	CAV1	T
6.22006929423306	CAV1	T
7.95100897356525	CAV1	T
6.92625566399631	CAV1	T
7.03228050747733	CAV1	T
7.97065237146037	CAV1	T
6.92004314150393	CAV1	T
5.51023469365097	CAV1	T
6.22469110801826	CAV1	T
3.60023763510555	CAV1	T
6.90650221792184	CAV1	T
6.11150232384704	CAV1	T
4.12095984784138	CAV1	T
6.08023894817701	CAV1	T
5.96370738705473	CAV1	T
6.34591188636087	CAV1	T
6.21710932306312	CAV1	T
6.63073628415836	CAV1	T
5.46705836332654	CAV1	T
6.58126778056757	CAV1	T
6.81442993750164	CAV1	T
7.83870537372508	CAV1	T
6.75491555429431	CAV1	T
5.51798017375742	CAV1	T
6.41810087328516	CAV1	T
5.9963501023129	CAV1	T
5.03786713907553	CAV1	T
4.23191235650222	CAV1	T
7.22004839289894	CAV1	T
4.29369418606432	CAV1	T
6.29930272935282	CAV1	T
5.41028852236087	CAV1	T
3.62498987309847	CAV1	T
5.31666167423454	CAV1	T
7.1490357564581	CAV1	T
3.47001747948594	CAV1	T
7.1780353550955	CAV1	T
8.19005971876801	CAV1	T
7.67477276104998	CAV1	T
4.01251057123168	CAV1	T
7.08982755854056	CAV1	T
7.10601009586121	CAV1	T
6.05807119060125	CAV1	T
4.83842490055705	CAV1	T
5.20411175613988	CAV1	T
5.27903775339491	CAV1	T
5.51278817661022	CAV1	T
6.36216213475647	CAV1	T
2.73642520367896	CAV1	T
3.43318260699229	CAV1	T
3.86986449859258	CAV1	T
5.70514880479028	CAV1	T
